Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
91,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,O.U.T COLONY",17.4963834,78.5449851,OPEN SPACES
92,1-KAPRA,1-KAPRA,EAST ZONE,"KANDIGUDA,OPEN SPACE",17.4968839,78.5439168,OPEN SPACES
93,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE  KANDIGUDA,17.496602,78.5443231,OPEN SPACES
94,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, KANDIGUDA",17.4965766,78.5437873,OPEN SPACES
95,1-KAPRA,1-KAPRA,EAST ZONE,"OHT, SHIVPURI",17.484977,78.5597065,OPEN SPACES
96,1-KAPRA,1-KAPRA,EAST ZONE,OHT & OPENSPACE SRI RAM NAGAR,17.4851386,78.5624611,OPEN SPACES
97,1-KAPRA,1-KAPRA,EAST ZONE,SUDHAKAR REDDY LAYOUT PARK,17.4970547,78.5359163,PARKS
98,1-KAPRA,1-KAPRA,EAST ZONE,SRIRAMNAGAR COLONY  PARK,17.4838581,78.5638308,PARKS
99,1-KAPRA,1-KAPRA,EAST ZONE,SRI RAM NAGAR PARK,17.4857706,78.5636542,PARKS
100,1-KAPRA,1-KAPRA,EAST ZONE,GOWDHAPURI COLONY  PARK,17.4873425,78.5613304,PARKS
101,1-KAPRA,1-KAPRA,EAST ZONE,GREEN PARK ENCLAVE  PARK,17.4902095,78.5619255,PARKS
102,1-KAPRA,1-KAPRA,EAST ZONE,SHIVPURI COLONY  PARK,17.4856621,78.5588603,PARKS
103,1-KAPRA,1-KAPRA,EAST ZONE,CHANDRAPURI COLONY PARK,17.4869455,78.5591136,PARKS
104,1-KAPRA,1-KAPRA,EAST ZONE,BRUNDAVAN COLOLONY PARK,17.4832846,78.5600756,PARKS
105,1-KAPRA,1-KAPRA,EAST ZONE,ARUL COLONY PARK,17.4820755,78.5601571,PARKS
106,1-KAPRA,1-KAPRA,EAST ZONE,BALAJI ENCLAVE PARK,17.4837481,78.5643907,PARKS
107,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, GREEN PAR",17.4910257,78.5589411,PARKS
108,1-KAPRA,1-KAPRA,EAST ZONE,ASHOK MANIPURI WALKERS PARK,17.4896147,78.5576745,PARKS
109,1-KAPRA,1-KAPRA,EAST ZONE,RAJEEV NAGAR  PARK,17.5019342,78.5652488,PARKS
110,1-KAPRA,1-KAPRA,EAST ZONE,MYTRI VILLA  PARK,17.4994382,78.5544788,PARKS
111,1-KAPRA,1-KAPRA,EAST ZONE,COUNTRY ESTATE  PARK,17.4936136,78.5740934,PARKS
112,1-KAPRA,1-KAPRA,EAST ZONE,SAINIKPURI  X ROAD PARK,17.4844891,78.5486157,PARKS
113,1-KAPRA,1-KAPRA,EAST ZONE,SAINIKPURI  PARK,17.4861596,78.5529531,PARKS
114,1-KAPRA,1-KAPRA,EAST ZONE,ESHWARAPURI COLONY  PARK,17.4871963,78.5522005,PARKS
115,1-KAPRA,1-KAPRA,EAST ZONE,SAINIKPURI  WALKERS TRACK PARK,17.4883843,78.5477528,PARKS
116,1-KAPRA,1-KAPRA,EAST ZONE,SAINIKPURI CHILDREN PARK,17.4876031,78.5464701,PARKS
117,1-KAPRA,1-KAPRA,EAST ZONE,"CHILDRENS PARK, AFOC",17.4889449,78.5434514,PARKS
118,1-KAPRA,1-KAPRA,EAST ZONE,"NURSERY, LAKE VIEW",17.4949437,78.5508191,PARKS
119,1-KAPRA,1-KAPRA,EAST ZONE,RAGHAVA KALYAN PARK,17.4969521,78.5463427,PARKS
120,1-KAPRA,1-KAPRA,EAST ZONE,OUT COLONY PARK,17.4956696,78.5455694,PARKS
121,1-KAPRA,1-KAPRA,EAST ZONE,CHANDRAPURI COLONY PLAY GROUND,17.4874328,78.5585505,PLAY GROUNDS
122,1-KAPRA,1-KAPRA,EAST ZONE,"PLAYGROUND, ADITHYA COLONY",17.4853919,78.561349,PLAY GROUNDS
123,1-KAPRA,1-KAPRA,EAST ZONE,"PLAY GROUND, GANDHINAGAR",17.4814931,78.5610745,PLAY GROUNDS
124,1-KAPRA,1-KAPRA,EAST ZONE,SRIRAMNAGAR PLAY GROUND,17.4830825,78.5640295,PLAY GROUNDS
125,1-KAPRA,1-KAPRA,EAST ZONE,RADHA KRISHNA PURAM PLAYGROUND,17.4953465,78.5399853,PLAY GROUNDS
126,1-KAPRA,1-KAPRA,EAST ZONE,"BHARATHARATNA PLAYGROUND, KANDIGUDA",17.4972916,78.5434559,PLAY GROUNDS
127,1-KAPRA,1-KAPRA,EAST ZONE,J J NAGAR AMMUGUDA FOOT BALL GROUND,17.4984806,78.5366191,PLAY GROUNDS
128,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - Ist Lifting,17.4833447,78.5649355,DUMPER BINS
129,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - IInd Lifting,17.4834127,78.5649165,DUMPER BINS
130,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - IIIrd Lifting,17.4831962,78.564832,DUMPER BINS
131,1-KAPRA,1-KAPRA,EAST ZONE,Vampuguda,17.4951067,78.5654448,DUMPER BINS
132,1-KAPRA,1-KAPRA,EAST ZONE,Yellareddyguda,17.495215,78.5654925,DUMPER BINS
133,1-KAPRA,1-KAPRA,EAST ZONE,Saket Nagar,17.4942193,78.5777992,DUMPER BINS
134,1-KAPRA,1-KAPRA,EAST ZONE,Sairam Nagar,17.500679,78.5853775,DUMPER BINS
135,1-KAPRA,1-KAPRA,EAST ZONE,Nethaji Nagar,17.48308,78.5647298,DUMPER BINS
136,1-KAPRA,1-KAPRA,EAST ZONE,Eswaripuri,17.4910282,78.5486823,DUMPER BINS
137,1-KAPRA,1-KAPRA,EAST ZONE,Officer's Colony,17.4910412,78.548795,DUMPER BINS
138,1-KAPRA,1-KAPRA,EAST ZONE,Kandiguda,17.4876082,78.5485228,DUMPER BINS
139,1-KAPRA,1-KAPRA,EAST ZONE,Jammigadda,17.4926952,78.5754843,DUMPER BINS
140,1-KAPRA,6-NACHARAM,EAST ZONE,SHIVA NARSING HOME,17.4242724,78.5567621,HOSPITALS
141,1-KAPRA,6-NACHARAM,EAST ZONE,VIJAYCHANDER CLINIC,17.4222727,78.5467811,HOSPITALS
142,1-KAPRA,6-NACHARAM,EAST ZONE,SUDHA EYE HOSPITAL,17.422494,78.5497407,HOSPITALS
143,1-KAPRA,6-NACHARAM,EAST ZONE,SRI LAKSHMI NURSING HOME,17.4214123,78.5494056,HOSPITALS
144,1-KAPRA,6-NACHARAM,EAST ZONE,LAKSHMI PHYSIOTHERAPY AND REHABITATION CENTER,17.4206776,78.5501792,HOSPITALS
145,1-KAPRA,6-NACHARAM,EAST ZONE,E.S.I HOSPITAL,17.4321464,78.5526511,HOSPITALS
146,1-KAPRA,6-NACHARAM,EAST ZONE,CHANDAMAMA CHILDREN'S HOSPITAL,17.427359,78.5518363,HOSPITALS
147,1-KAPRA,6-NACHARAM,EAST ZONE,SUDHA EYE HOSPITAL,17.4247374,78.5481495,HOSPITALS
148,1-KAPRA,6-NACHARAM,EAST ZONE,WHITUS HOSPITAL,17.4187504,78.5422897,HOSPITALS
149,1-KAPRA,6-NACHARAM,EAST ZONE,SRI VENKATESHWARA CLINIC,17.4322498,78.5463868,HOSPITALS
150,1-KAPRA,6-NACHARAM,EAST ZONE,SRINIVASA CLINIC,17.4304708,78.549853,HOSPITALS
151,1-KAPRA,6-NACHARAM,EAST ZONE,NACHARAM PEOPLE HOSPITAL,17.4289707,78.5499657,HOSPITALS
152,1-KAPRA,1-KAPRA,EAST ZONE,SARITHA DENTAL CLINIC,17.486318,78.555606,HOSPITALS
