ward_id,ward_name,pop_annualized_growth_pct,pop_growth_z,infra_improvement_z,pressure_zscore,pressure_data_coverage,n_udise_signals_used,pressure_rank,udise_improvement_z,udise_imputed,udise_improvement_z_used,amenity_count,pressure_confidence,pressure_uncertainty
143,Tarnaka,0.7858027582982929,-0.6208932550286934,0.2421612311051472,-0.7628032837091792,full,5,117.0,0.2421612311051472,False,0.2421612311051472,506,high,0.5
92,Venkateshwara Colony,0.7751215989813431,-0.9288023682282605,-0.058356919897595,-0.7693357220709376,full,5,118.0,-0.058356919897595,False,-0.058356919897595,667,high,0.5
11,Nagole,0.776314569058334,-0.8944122474951152,,-0.7905185713537645,population_only,0,119.0,,True,0.0,1713,medium,0.8
2,Dr A S Rao Nagar,0.7751517117908779,-0.9279342968696492,,-0.8201467463420009,population_only,0,120.0,,True,0.0,406,medium,0.8
123,Hydernagar,0.7750094414699094,-0.9320355678145118,,-0.823771619388124,population_only,0,121.0,,True,0.0,186,medium,0.8
115,Balaji Nagar,0.774843954596971,-0.93680610954885,,-0.8279880216645622,population_only,0,122.0,,True,0.0,1921,medium,0.8
128,Chintal,0.7747449836722042,-0.9396591752857416,,-0.8305096792744869,population_only,0,123.0,,True,0.0,2535,medium,0.8
26,Old Malakpet,0.7832188028386255,-0.6953817455121936,0.2499832562144662,-0.8355527248936624,full,5,124.0,0.2499832562144662,False,0.2499832562144662,822,high,0.5
3,Cherlapally,0.7744455938924144,-0.9482897779067334,,-0.8381377631619515,population_only,0,125.0,,True,0.0,968,medium,0.8
114,KPHB Colony,0.7737853234841774,-0.967323599034142,,-0.854960642239448,population_only,0,126.0,,True,0.0,282,medium,0.8
60,Rajendra Nagar,0.7704836994579578,-1.0625005452686604,,-0.9390819674715656,population_only,0,127.0,,True,0.0,2107,medium,0.8
13,Hayath Nagar,0.7701215444701148,-1.0729405001311048,,-0.9483092317738719,population_only,0,128.0,,True,0.0,27,medium,0.8
133,Macha Bolarum,0.76948143313611,-1.091393189334014,,-0.9646184823987061,population_only,0,129.0,,True,0.0,1097,medium,0.8
68,Tolichowki,0.7775651745259182,-0.858360653369435,0.2506216656929225,-0.9801644834101492,full,5,130.0,0.2506216656929225,False,0.2506216656929225,853,high,0.5
1,Kapra,0.7687340690428757,-1.112937687300615,,-0.9836604016040716,population_only,0,131.0,,True,0.0,1013,medium,0.8
90,Kavadiguda,0.7704860123087798,-1.062433871996179,0.051984498605515,-0.9849690908031233,full,5,132.0,0.051984498605515,False,0.051984498605515,610,high,0.5
106,Serilingampally,0.7616476869801048,-1.3172190346707062,,-1.1642127132808069,population_only,0,133.0,,True,0.0,942,medium,0.8
136,Neredmet,0.7604775101155425,-1.350952088355453,,-1.1940273826135988,population_only,0,134.0,,True,0.0,986,medium,0.8
107,Madhapur,0.76003380773213,-1.36374283544077,,-1.2053323744009425,population_only,0,135.0,,True,0.0,777,medium,0.8
139,East Anand Bagh,0.7583663403660568,-1.4118114376160118,,-1.2478173949549038,population_only,0,136.0,,True,0.0,599,medium,0.8
42,Barkas,0.7567927850915757,-1.4571728066171383,-0.0336060124263836,-1.258207265745745,full,5,137.0,-0.0336060124263836,False,-0.0336060124263836,201,high,0.5
99,Vengal Rao Nagar,0.7696098810050733,-1.087690382527067,0.3632123693693197,-1.2823679168242188,full,5,138.0,0.3632123693693197,False,0.3632123693693197,601,high,0.5
41,Kanchanbagh,0.7576185624502685,-1.4333678649745305,0.0257660128403525,-1.2896429266644192,full,5,139.0,0.0257660128403525,False,0.0257660128403525,343,high,0.5
66,Langar Houz,0.7570505361504498,-1.4497425363993492,0.0181972233909151,-1.2974259297015354,full,5,140.0,0.0181972233909151,False,0.0181972233909151,618,high,0.5
105,Gachibowli,0.7549327687834229,-1.5107920772398715,,-1.335300581870413,population_only,0,141.0,,True,0.0,3116,medium,0.8
91,Khairatabad,0.762509561874114,-1.2923734981115589,0.2904892420375718,-1.3989996173421488,full,5,142.0,0.2904892420375718,False,0.2904892420375718,2171,high,0.5
4,Meerpet H.B Colony,0.7509218708833476,-1.626415482799077,,-1.437493334299398,population_only,0,143.0,,True,0.0,44,medium,0.8
8,Habsiguda,0.7443242048621457,-1.816608460311497,,-1.6055937614633926,population_only,0,144.0,,True,0.0,131,medium,0.8
108,Miyapur,0.7349187912228716,-2.087741254702864,,-1.8452321495441515,population_only,0,145.0,,True,0.0,321,medium,0.8
142,Addagutta,0.7634132630773616,-1.2663222214820848,0.9326987272757268,-1.9435857499240279,full,5,146.0,0.9326987272757268,False,0.9326987272757268,70,high,0.5
144,Mettuguda,0.7303332734120538,-2.2199294077668466,0.0241666201660597,-1.9834249709241272,full,5,147.0,0.0241666201660597,False,0.0241666201660597,245,high,0.5
132,Jeedimetla,0.7228881172394175,-2.4345532483747565,,-2.1517589469283225,population_only,0,148.0,,True,0.0,968,medium,0.8
149,Begumpet,0.7266746062961627,-2.3253989465798077,0.2870918335836672,-2.309027503808858,full,5,149.0,0.2870918335836672,False,0.2870918335836672,2197,high,0.5
69,Nanal Nagar,0.7575644126783132,-1.4349288573507275,1.5221998978542328,-2.613632813527113,full,5,150.0,1.5221998978542328,False,1.5221998978542328,604,high,0.5
